code,trade_date,open,high,low,close,volume,amount,turn,pe_ttm
sh.600129,2026-06-30,13.05,13.7,12.95,13.57,27427118,366282552.12,4.9739,67.021685
sh.600130,2026-06-29,4.48,4.5,4.29,4.37,24939324,109068168.88,3.3252,571.982694
sh.600130,2026-06-30,4.32,4.53,4.32,4.43,24632401,109618732.44,3.2843,579.836003
sh.600131,2026-06-29,14.85,15.03,14.55,14.81,9389542,139139389.09,0.7851,27.055506
sh.600131,2026-06-30,14.72,14.82,14.5,14.6,8665787,126657442.84,0.7246,26.671869
sh.600132,2026-06-29,41.3,43.1,40.35,42.3,5073796,212794307.94,1.0484,17.117965
sh.600132,2026-06-30,42.3,42.32,40.89,41.3,3723420,153813396.2,0.7693,16.713285
sh.600133,2026-06-29,8.11,8.16,7.89,7.92,22221459,176851800.25,2.0841,30.467379
sh.600133,2026-06-30,7.88,8.0,7.81,7.9,13962723,110134227.28,1.3095,30.390442
sh.600135,2026-06-29,7.8,7.82,7.45,7.7,11006758,84050750.75,1.9893,-45.394287
sh.600135,2026-06-30,7.65,8.08,7.57,7.99,10587310,83615287.88,1.9135,-47.103942
sh.600137,2026-06-29,16.46,16.79,15.7,16.71,3331400,54316719.0,3.4267,52.680782
sh.600137,2026-06-30,16.68,16.83,16.11,16.23,1541000,25206559.98,1.5851,51.16751
sh.600138,2026-06-29,6.53,6.63,6.35,6.62,15087018,98350531.57,2.0843,59.66466
sh.600138,2026-06-30,6.6,6.62,6.47,6.53,7643555,49877718.4,1.056,58.853509
sh.600141,2026-06-29,49.8,50.78,45.6,47.88,116452697,5577077796.92,9.6903,40.01094
sh.600141,2026-06-30,46.5,47.6,44.6,46.97,82548619,3803492870.44,6.8691,39.250498
sh.600143,2026-06-29,15.5,15.5,14.63,14.95,46439113,693886004.63,1.7625,33.073957
sh.600143,2026-06-30,15.0,15.79,14.75,15.45,48846430,743594197.58,1.8539,34.18011
sh.600148,2026-06-29,14.54,14.73,14.06,14.54,2296134,33121104.02,1.6225,124.694751
sh.600148,2026-06-30,14.66,14.8,14.36,14.51,1748600,25395011.0,1.2356,124.437472
sh.600149,2026-06-29,4.46,4.54,4.32,4.52,10787700,48041813.0,2.8377,106.799996
sh.600149,2026-06-30,4.55,4.6,4.4,4.49,10338600,46613598.0,2.7195,106.091147
sh.600150,2026-06-29,33.35,33.89,32.87,33.59,90484693,3015548313.11,1.2024,22.357653
sh.600150,2026-06-30,33.3,34.36,32.86,33.79,88822110,2979364142.23,1.1803,22.490774
sh.600151,2026-06-29,11.2,11.4,10.83,11.0,36021683,396052974.12,2.5115,-35.018349
sh.600151,2026-06-30,10.97,11.33,10.88,11.22,35107600,392037861.0,2.4478,-35.718716
sh.600152,2026-06-29,10.39,10.4,9.6,9.69,63056155,618496053.6,11.9181,-48.644875
sh.600152,2026-06-30,9.89,10.18,9.63,9.99,40094159,395885023.05,7.5781,-50.150909
sh.600153,2026-06-29,8.12,8.2,7.79,8.15,26039372,209324439.42,0.8981,-2.209031
sh.600153,2026-06-30,8.12,8.14,7.83,7.93,26097100,207875419.98,0.9,-2.149401
sh.600155,2026-06-29,5.46,5.55,5.39,5.47,24887909,136430312.08,1.1243,47.915055
sh.600155,2026-06-30,5.48,5.65,5.43,5.52,24932981,138148292.08,1.1264,48.353036
sh.600156,2026-06-29,8.19,8.3,7.95,8.05,14304800,115372599.0,3.5574,-113.561728
sh.600156,2026-06-30,8.61,8.66,7.96,8.32,19885758,164082678.4,4.9453,-117.370631
sh.600157,2026-06-29,1.53,1.56,1.51,1.55,584093328,898964840.36,2.6771,154.142105
sh.600157,2026-06-30,1.56,1.62,1.53,1.61,676456940,1064384891.88,3.1005,160.108896
sh.600158,2026-06-29,6.81,6.89,6.61,6.77,50835647,343381828.55,5.2981,-33.87602
sh.600158,2026-06-30,6.77,6.84,6.66,6.74,43687982,294084482.97,4.5531,-33.725904
sh.600159,2026-06-29,2.27,2.27,2.16,2.24,17372081,38633794.87,2.093,-6.919253
sh.600159,2026-06-30,2.24,2.28,2.18,2.21,14727100,32774622.0,1.7743,-6.826585
sh.600160,2026-06-29,53.0,54.9,48.22,53.8,133873139,6904309536.65,4.9587,34.97888
sh.600160,2026-06-30,52.0,55.0,51.13,53.01,99923058,5282766195.17,3.7012,34.465249
sh.600161,2026-06-29,11.41,11.88,11.12,11.82,21162668,246350380.27,1.0702,24.032008
sh.600161,2026-06-30,11.82,11.83,11.42,11.58,13404634,155231574.49,0.6779,23.544049
sh.600162,2026-06-29,3.09,3.2,2.9,2.94,216658344,648872528.49,6.6288,-109.659743
sh.600162,2026-06-30,2.87,2.91,2.73,2.8,166956537,469531786.6,5.1081,-104.437851
sh.600163,2026-06-29,4.9,5.07,4.87,5.06,23851045,119121278.27,1.2533,20.631636
sh.600163,2026-06-30,5.3,5.3,5.08,5.15,28818701,148499207.12,1.5144,20.998602
sh.600166,2026-06-29,2.98,2.99,2.82,2.94,142090872,412644562.46,1.7947,16.282359
sh.600166,2026-06-30,2.91,2.94,2.86,2.91,98371050,284698053.89,1.2425,16.116212
sh.600167,2026-06-29,5.35,5.4,5.24,5.36,7514262,40049825.13,0.3321,20.195065
sh.600167,2026-06-30,5.47,5.61,5.42,5.59,11914191,65693432.77,0.5265,21.061645
sh.600168,2026-06-29,4.07,4.11,3.93,4.06,6583960,26390665.4,0.6628,39.176662
sh.600168,2026-06-30,4.07,4.11,3.97,4.04,4035519,16202857.39,0.4062,38.983674
sh.600170,2026-06-29,2.22,2.25,2.16,2.24,144589174,319579608.8,1.6272,14.041677
sh.600170,2026-06-30,2.23,2.24,2.19,2.22,115529904,255196364.45,1.3001,13.916305
sh.600171,2026-06-29,30.4,31.5,29.57,30.88,42060920,1288330020.13,5.9331,99.389827
sh.600171,2026-06-30,30.48,32.0,30.18,31.94,49880649,1567491707.85,7.0361,102.801525
sh.600172,2026-06-29,16.77,17.0,15.41,16.16,207967108,3351252514.12,16.2951,-26.509054
sh.600172,2026-06-30,16.0,16.94,15.63,16.8,199412352,3288651532.27,15.6248,-27.558918
sh.600173,2026-06-29,5.9,6.09,5.79,5.94,6168300,36731759.0,0.8807,-19.806279
sh.600173,2026-06-30,5.93,5.99,5.83,5.91,5311151,31305661.79,0.7583,-19.706247
sh.600176,2026-06-29,75.53,75.53,66.8,70.98,249664062,17478062056.19,6.2367,74.34018
sh.600176,2026-06-30,68.5,76.99,68.01,72.88,221875437,15990560070.32,5.5425,76.330126
sh.600177,2026-06-29,7.48,7.62,7.29,7.6,31926862,239454835.61,0.7089,13.695596
sh.600177,2026-06-30,7.59,7.59,7.4,7.53,21940102,164049698.48,0.4872,13.569452
sh.600178,2026-06-29,10.1,10.1,9.57,9.67,14568100,141735467.0,3.123,-405.907328
sh.600178,2026-06-30,9.53,9.96,9.19,9.83,13425301,127991343.31,2.878,-412.623478
sh.600179,2026-06-29,4.65,4.65,4.35,4.48,69606558,311447672.29,1.8022,17.25961
sh.600179,2026-06-30,4.43,4.52,4.36,4.4,39080654,172721570.41,1.0119,16.951403
sh.600182,2026-06-29,12.76,12.91,12.41,12.8,1844600,23338976.24,1.0851,19.704492
sh.600182,2026-06-30,12.7,13.0,12.52,12.84,1931301,24746429.8,1.1361,19.766068
sh.600183,2026-06-29,178.5,182.68,162.9,171.16,74837544,12779175470.3,3.1254,105.835234
sh.600183,2026-06-30,171.0,178.15,168.11,173.4,67645095,11720608035.38,2.825,107.220317
sh.600184,2026-06-29,29.7,31.56,28.46,29.1,61596731,1850480219.25,10.5704,330.91765
